브랜드,대분류,중분류,아이템코드,아이템명(한글),발주(TAG),전년비(발주),주간판매매출(TAG),전년비(주간),누적판매매출(TAG),전년비(누적),누적판매율당년,누적판매율차이,전년마감판매율,누적판매TAG가,누적입고TAG가,전년누적판매TAG가,전년누적입고TAG가,전년마감누적판매TAG가,전년마감누적입고TAG가
M,의류,Inner,DD,데님원피스,0,0.0000,0,0.0000,0,0.0000,,,0.2023,0,0,17662000,104182000,21075000,104182000
M,의류,Inner,DR,데님셔츠,9840059000,0.5365,2457000,0.8048,63315000,0.2775,0.1523,-0.2028,0.4045,63315000,415800000,228125000,642445000,259862000,642445000
M,의류,Inner,HD,후드티,21826472000,0.8587,89956000,0.8581,1208149000,0.6731,0.3305,-0.0788,0.5233,1208149000,3656024000,1794985692,4385963000,2294989540,4385963000
M,의류,Inner,KP,니트풀오버,9758594000,1.1991,33995000,2.7114,472809000,0.7074,0.3489,-0.1365,0.5610,472809000,1355334000,668339000,1376937000,772482000,1376937000
M,의류,Inner,MT,맨투맨,52568038000,0.6848,147512000,0.8783,2651322000,0.7092,0.4356,0.0282,0.5140,2651322000,6086548000,3738399468,9177169000,4717176145,9177169000
M,의류,Inner,OP,원피스,270900000,0.2343,3096000,1.7722,65145000,0.9179,0.2594,0.1887,0.0812,65145000,251163000,70973000,1004723000,81594000,1004723000
M,의류,Inner,TO,TOP,183848000,,0,,0,,,,,0,0,0,0,0,0
M,의류,Inner,TR,트레이닝(상의),16175419000,0.7324,46692000,0.8402,1442961000,1.0117,0.6032,0.2432,0.4365,1442961000,2392131000,1426227797,3961775000,1729283797,3961775000
M,의류,Inner,TS,반팔카라티셔츠,44005259000,1.5526,23794000,4.2642,1862993000,2.2115,0.5381,-0.0937,0.6715,1862993000,3462190000,842405026,1333302000,895283026,1333302000
M,의류,Inner,WS,우븐셔츠,2434707000,1.2968,3380000,1.3477,117624000,2.0155,0.6327,0.3473,0.3709,117624000,185900000,58360000,204432000,75817000,204432000
M,의류,Outer,DJ,다운점퍼,329698294000,1.2579,1468619000,0.5920,10865929000,0.7707,0.2312,-0.1414,0.6520,10865929000,46994861000,14098919887,37842656000,24867949585,38141955000
M,의류,Outer,DK,진자켓,2481071000,0.3505,-498000,-0.5950,43235000,1.2033,0.2764,0.1625,0.1564,43235000,156400000,35930000,315475000,49325470,315475000
M,의류,Outer,DV,다운베스트,21108946000,0.8827,54731000,0.6981,595182000,0.5732,0.2414,-0.1176,0.5059,595182000,2465051000,1038288000,2891583000,1462920000,2891583000
M,의류,Outer,FD,폴라폴리스점퍼,2902405000,0.5370,16225000,1.0419,210106000,1.7980,0.4151,0.2706,0.2343,210106000,506105000,116853000,808191000,189376000,808191000
M,의류,Outer,JK,방수자켓,247572000,0.8151,0,,0,,,,,0,0,0,0,0,0
M,의류,Outer,JP,점퍼,14172444000,0.8446,39723000,0.7518,1277469000,0.7382,0.4346,0.0796,0.4143,1277469000,2939739000,1730555634,4875182000,2019774634,4875182000
M,의류,Outer,KC,니트가디건,11491431000,0.6868,23722000,1.1331,741183000,0.7008,0.5777,0.1387,0.5060,741183000,1282979000,1057655193,2408962000,1219053686,2408962000
