사업부,브랜드,고객,RF상권,시즌,당시즌/과시즌,정상/이관/이월,상품,PH01-1,PH01-2,PH01-3,MTyp,유통채널,판매수량,1. 매출액 Actual,제품/상품 매출액 Actual,판매금액(TAG가),실판매액,실판매액(V-),수수료차감매출 Actual,출고매출액(V-) Actual,관리매출액,마일리지 매출액,기타 매출액,2. 매출원가 Actual,표준 매출원가,표준 외주가공비,표준 부재료비,제품/상품기타COGS,기타 매출원가 Actual,기타 매출원가,기타 매출원가_재고자산폐기,3. 매출총이익 Actual,지급수수료-판매수수료,BUn,통화
10,V,105868.0,N,24F,C,C,V24FVDDJ18546,L0100,L0100L0110,L0100L0110L0110005,ZFRT,7.0,1,405000,405000,990000,445500,405000,445500,405000,0,0,0,175650,175650,175650,0,0,0,0,0,229350,0,EA,KRW
10,M,105880.0,N,26N,A,A,M26N3ACPB316N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,6.0,1,35400,35400,59000,59000,53636,38940,35400,0,0,0,8894,8894,8840,54,0,0,0,0,26506,18236,EA,KRW
10,ST,105205.0,N,23S,C,C,ST23STMPQ60033,L0100,L0100L0120,L0100L0120L0120027,ZFRT,5.0,1,37909,37909,139000,41700,37909,41700,37909,0,0,0,34480,34480,34480,0,0,0,0,0,3429,0,EA,KRW
10,M,100348.0,N,25F,A,A,M25F3ABNV0856,A0100,A0100A0140,A0100A0140A0140001,ZFRT,2.0,11,365794,365794,649000,649000,589996,402373,365794,0,0,0,78661,78661,78100,561,0,0,0,0,287133,224202,EA,KRW
10,M,104352.0,N,25N,A,A,M25N3ABQA015N,A0100,A0100A0130,A0100A0130A0130004,ZFRT,1.0,2,138600,138600,198000,198000,180000,152460,138600,0,0,0,28946,28946,28840,106,0,0,0,0,109654,41400,EA,KRW
10,X,104473.0,N,26N,A,A,X26NDKCR2016N,A0100,A0100A0130,A0100A0130A0130008,ZFRT,6.0,1,29845,29845,49000,49000,44545,32830,29845,0,0,0,11000,11000,11000,0,0,0,0,0,18845,14700,EA,KRW
10,V,105958.0,N,24F,C,C,V24FVDDJ11546,L0100,L0100L0110,L0100L0110L0110005,ZFRT,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EA,KRW
10,X,101186.0,N,24F,C,C,X24FDXDJ8C046,L0100,L0100L0110,L0100L0110L0110005,ZFRT,1.0,196,16123700,16123700,54684000,27286150,24805600,17736070,16123700,0,0,0,9931320,9931320,9931320,0,0,0,0,0,6192380,8681900,EA,KRW
10,X,104377.0,N,25F,A,A,X25FDMTR65056,L0100,L0100L0120,L0100L0120L0120017,ZFRT,6.0,1,61918,61918,139000,97300,88454,68110,61918,0,0,0,26380,26380,26380,0,0,0,0,0,35538,26536,EA,KRW
10,X,103534.0,N,24F,C,C,X24FDMWJ33044,L0100,L0100L0110,L0100L0110L0110027,ZFRT,7.0,1,108545,108545,199000,119400,108545,119400,108545,0,0,0,41590,41590,41590,0,0,0,0,0,66955,0,EA,KRW
10,X,101107.0,N,24N,A,A,X24NDXBK0064N,A0100,A0100A0130,A0100A0130A0130002,ZFRT,1.0,5,328840,328840,795000,556500,505910,361724,328840,0,0,0,174000,174000,174000,0,0,0,0,0,154840,177070,EA,KRW
10,M,100447.0,Y,25N,A,A,M25N3ACPD035N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,3.0,39,1870007,1870007,2067000,2057000,1870007,2057008,1870007,0,0,0,281307,281307,279240,2067,0,0,0,0,1588700,0,EA,KRW
10,I,104036.0,N,26N,A,A,I26N7AUBB016N,A0100,A0100A0130,A0100A0130A0130017,ZFRT,1.0,4,104236,104236,196000,176400,160364,114660,104236,0,0,0,44216,44216,44000,216,0,0,0,0,60020,56128,EA,KRW
10,I,100649.0,N,25F,A,A,I25F7AWBCB756,A0100,A0100A0150,A0100A0150A0150008,ZFRT,1.0,1,56700,56700,99000,99000,90000,62370,56700,0,0,0,23350,23350,23300,50,0,0,0,0,33350,33300,EA,KRW
10,X,101303.0,N,25F,A,A,X25FDWJP4W056,L0100,L0100L0110,L0100L0110L0110015,ZFRT,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EA,KRW
10,X,101169.0,N,25N,A,A,X25NDXCP7085N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,1.0,1,24050,24050,45000,40710,37000,26455,24050,0,0,0,7870,7870,7870,0,0,0,0,0,16180,12950,EA,KRW
10,X,101166.0,N,26S,A,A,X26SDMTR29061,L0100,L0100L0120,L0100L0120L0120017,ZFRT,1.0,1,70318,70318,119000,119000,108182,77350,70318,0,0,0,25450,25450,25450,0,0,0,0,0,44868,37864,EA,KRW
10,X,101255.0,N,25S,C,C,X25SDKTR3A051,L0100,L0100L0120,L0100L0120L0120017,ZFRT,7.0,3,211092,211092,387000,232200,211092,232201,211092,0,0,0,77370,77370,77370,0,0,0,0,0,133722,0,EA,KRW
10,M,100348.0,N,24N,A,A,M24N3ABQS014N,A0100,A0100A0130,A0100A0130A0130004,ZFRT,2.0,4,245744,245744,436000,436000,396364,270318,245744,0,0,0,63204,63204,63000,204,0,0,0,0,182540,150620,EA,KRW
10,X,101273.0,N,25F,A,A,X25FDWRL41054,L0100,L0100L0120,L0100L0120L0120011,ZFRT,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EA,KRW
10,X,101117.0,N,25F,A,A,X25FDMDJ71056,L0100,L0100L0110,L0100L0110L0110005,ZFRT,7.0,2,298181,298181,338000,328000,298181,327999,298181,0,0,0,83120,83120,83120,0,0,0,0,0,215061,0,EA,KRW
10,X,101311.0,N,24F,C,C,X24FDWDJ72046,L0100,L0100L0110,L0100L0110L0110005,ZFRT,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EA,KRW
10,I,100599.0,N,26S,A,A,I26S7FPTA0161,L0100,L0100L0130,L0100L0130L0130009,ZFRT,1.0,10,355987,355987,690000,621570,565059,391586,355987,0,0,0,173760,173760,172500,1260,0,0,0,0,182227,209072,EA,KRW
10,X,104068.0,N,25S,C,C,X25SDMRS73053,L0100,L0100L0120,L0100L0120L0120012,ZFRT,6.0,5,95930,95930,225000,157500,143180,105523,95930,0,0,0,36300,36300,36300,0,0,0,0,0,59630,47250,EA,KRW
10,I,100761.0,N,26S,A,A,I26S7AWJB0261,L0100,L0100L0110,L0100L0110L0110027,ZFRT,1.0,3,214544,214544,387000,374600,340546,235998,214544,0,0,0,73398,73398,73020,378,0,0,0,0,141146,126002,EA,KRW
10,X,101165.0,N,21N,A,A,X21NDXSH2111N,A0100,A0100A0150,A0100A0150A0150005,ZFRT,1.0,4,230400,230400,436000,396000,360000,253440,230400,0,0,0,83780,83780,82800,980,0,0,0,0,146620,129600,EA,KRW
10,X,101245.0,N,24F,C,C,X24FDWDJ9G046,L0100,L0100L0110,L0100L0110L0110005,ZFRT,12.0,2,253636,253636,558000,279000,253636,279000,253636,0,0,0,119260,119260,119260,0,0,0,0,0,134376,0,EA,KRW
10,X,101036.0,N,25N,A,A,X25NDXBK4015N,A0100,A0100A0130,A0100A0130A0130002,ZFRT,6.0,5,477000,477000,845000,795000,722725,524700,477000,0,0,0,177500,177500,177500,0,0,0,0,0,299500,245725,EA,KRW
10,M,100554.0,N,26S,A,A,M26S3ATSB0463,L0100,L0100L0120,L0100L0120L0120018,ZFRT,2.0,34,1130636,1130636,2006000,2006000,1823624,1243700,1130636,0,0,0,347854,347854,343400,4454,0,0,0,0,782782,692988,EA,KRW
10,I,100887.0,N,26N,A,A,I26N7AWRC016N,A0100,A0100A0140,A0100A0140A0140010,ZFRT,2.0,3,80181,80181,147000,147000,133635,88199,80181,0,0,0,24612,24612,24450,162,0,0,0,0,55569,53454,EA,KRW
10,X,104889.0,N,25F,A,A,X25FDXHD33054,L0100,L0100L0120,L0100L0120L0120004,ZFRT,6.0,3,158951,158951,267000,259750,236131,174846,158951,0,0,0,68640,68640,68640,0,0,0,0,0,90311,77180,EA,KRW
10,X,101307.0,N,26N,A,A,X26NDXSO7276N,A0100,A0100A0120,A0100A0120A0120044,ZFRT,6.0,2,14618,14618,24000,24000,21818,16080,14618,0,0,0,5120,5120,5120,0,0,0,0,0,9498,7200,EA,KRW
10,X,101149.0,N,25N,A,A,X25NDXCR3115N,A0100,A0100A0130,A0100A0130A0130008,ZFRT,1.0,1,50539,50539,89000,80570,73245,55593,50539,0,0,0,17500,17500,17500,0,0,0,0,0,33039,22706,EA,KRW
10,I,104808.0,N,25N,A,A,I25N7ACPB115N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,5.0,2,65454,65454,72000,72000,65454,71999,65454,0,0,0,14508,14508,14400,108,0,0,0,0,50946,0,EA,KRW
10,X,104809.0,N,24N,A,A,X24NDXCP4564N,A0100,A0100A0140,A0100A0140A0140003,ZFRT,5.0,1,30909,30909,85000,34000,30909,34000,30909,0,0,0,15900,15900,15900,0,0,0,0,0,15009,0,EA,KRW
10,X,101242.0,N,25F,A,A,X25FDMDJ79056,L0100,L0100L0110,L0100L0110L0110005,ZFRT,1.0,4,797091,797091,1116000,1096000,996363,876800,797091,0,0,0,231680,231680,231680,0,0,0,0,0,565411,199272,EA,KRW
10,X,101108.0,N,24F,C,C,X24FDXTR39044,L0100,L0100L0120,L0100L0120L0120017,ZFRT,1.0,4,147376,147376,596000,238400,216728,162114,147376,0,0,0,107200,107200,107200,0,0,0,0,0,40176,69352,EA,KRW
10,I,100726.0,N,26N,A,A,I26N7FBKB116N,A0100,A0100A0130,A0100A0130A0130002,ZFRT,1.0,1,72785,72785,139000,125100,113727,80064,72785,0,0,0,25054,25054,25000,54,0,0,0,0,47731,40942,EA,KRW
