브랜드코드,채널명,아이템_중분류,제품계층3(소분류),아이템코드,TAG매출액,실매출액,부가세제외 실판매액,매출원가 ( 환입후매출원가+평가감(추가) ),매출총이익,지급수수료_중간관리수수료,지급수수료_판매사원도급비(직영),지급수수료_판매사원도급비(면세),지급수수료_물류용역비,지급수수료_이천보관료,지급수수료_카드수수료,지급수수료_온라인위탁판매수수료,지급수수료_로열티,지급임차료_매장(고정),감가상각비_임차시설물,직접비 합계,직접이익
M,자사몰,과시즌의류,후드티,HD,2306000,1219980,1109073,49905,1059168,0,0,0,54756,29050,48418,0,50463,0,0,182687,876481
M,자사몰,당시즌의류,니트가디건,KC,1513000,1463316,1330287,233227,1097060,0,0,0,66755,34526,62602,0,61556,0,0,225439,871621
M,자사몰,당시즌의류,니트풀오버,KP,1403000,1325510,1205009,250701,954308,0,0,0,59493,31393,52606,0,54828,0,0,198320,755988
M,자사몰,당시즌의류,다운베스트,DV,5495000,5096240,4632945,1046843,3586102,0,0,0,228735,121045,202256,0,210799,0,0,762835,2823267
M,자사몰,당시즌의류,다운점퍼,DJ,187849000,175698100,159725547,34096649,125628898,0,0,0,7885874,4171104,6972968,0,7267513,0,0,26297459,99331439
M,자사몰,당시즌의류,데님셔츠,DR,527000,527000,479091,108867,370224,0,0,0,23654,12495,20915,0,21798,0,0,78862,291362
M,자사몰,당시즌의류,레깅스,LG,623000,610800,555273,114656,440617,0,0,0,27415,14525,24241,0,25265,0,0,91446,349171
M,자사몰,당시즌의류,맨투맨,MT,33147000,30819430,28017665,5957402,22060263,0,0,0,1383271,731733,1223135,0,1274802,0,0,4612941,17447322
M,자사몰,당시즌의류,반팔카라티셔츠,TS,2242000,2064630,1876937,503962,1372975,0,0,0,95621,49042,84559,0,85400,0,0,314622,1058353
M,자사몰,당시즌의류,방풍자켓,WJ,975000,907590,825082,198509,626573,0,0,0,40736,21553,36020,0,37542,0,0,135851,490722
M,자사몰,당시즌의류,스커트,SK,824000,777100,706455,157513,548942,0,0,0,34877,18430,30841,0,32143,0,0,116291,432651
M,자사몰,당시즌의류,우븐팬츠,WP,4590000,4378830,3980755,883570,3097185,0,0,0,201528,104021,178206,0,181123,0,0,664878,2432307
M,자사몰,당시즌의류,원피스,OP,139000,120000,109091,24999,84092,0,0,0,5386,2811,4762,0,4964,0,0,17923,66169
M,자사몰,당시즌의류,점퍼,JP,3409000,3305600,3005090,652754,2352336,0,0,0,148365,78406,131190,0,136731,0,0,494692,1857644
M,자사몰,당시즌의류,진바지,DP,1741000,1620550,1473227,404365,1068862,0,0,0,72738,38578,64314,0,67032,0,0,242662,826200
M,자사몰,당시즌의류,진스커트,DS,139000,136020,123655,29755,93900,0,0,0,6105,3280,5398,0,5626,0,0,20409,73491
M,자사몰,당시즌의류,트레이닝(상의),TR,9703000,9175430,8341300,1799286,6542014,0,0,0,418926,217883,370443,0,379529,0,0,1386781,5155233
M,자사몰,당시즌의류,패딩,PD,219000,157100,142818,47401,95417,0,0,0,7050,3748,6235,0,6498,0,0,23531,71886
M,자사몰,당시즌의류,팬츠,PT,29949000,27892828,25357118,5697610,19659508,0,0,0,1256938,662589,1113404,0,1154312,0,0,4187243,15472265
M,자사몰,당시즌의류,폴라폴리스점퍼,FD,956000,845230,768391,176804,591587,0,0,0,37936,20148,33545,0,34962,0,0,126591,464996
M,자사몰,당시즌의류,후드티,HD,20043000,18893535,17175941,4093689,13082252,0,0,0,849964,448361,758103,0,783383,0,0,2839811,10242441
M,자사몰,차시즌의류,맨투맨,MT,4269000,4057469,3688609,753436,2935173,0,0,0,182700,96387,163489,0,168390,0,0,610966,2324207
M,자사몰,차시즌의류,반팔카라티셔츠,TS,2760000,2482867,2257151,553394,1703757,0,0,0,111785,58865,99988,0,103029,0,0,373667,1330090
M,자사몰,차시즌의류,점퍼,JP,598000,576000,523636,122028,401608,0,0,0,25853,13744,22860,0,23825,0,0,86282,315326
M,자사몰,차시즌의류,트레이닝(상의),TR,476000,431470,392245,95396,296849,0,0,0,19366,10308,17124,0,17847,0,0,64645,232204
M,자사몰,차시즌의류,팬츠,PT,495000,457350,415773,91542,324231,0,0,0,20521,10933,18150,0,18917,0,0,68521,255710
M,자사몰,차시즌의류,후드티,HD,3593000,3485093,3168266,777718,2390548,0,0,0,157113,82743,141219,0,144817,0,0,525892,1864656
M,제휴몰,Acc_etc,기타,ET,6002000,6002000,5456364,788526,4667838,0,0,0,268607,142427,0,1533856,248262,0,0,2193152,2474686
M,제휴몰,Acc_etc,머플러(스카프),MF,5957000,5957000,5415454,981748,4433706,0,0,0,266596,141343,0,1488120,246403,0,0,2142462,2291244
M,제휴몰,Acc_etc,양말,SO,1383400,1383400,1257631,219101,1038530,0,0,0,61908,33150,0,346618,57225,0,0,498901,539629
