브랜드,구분,종료일,유통채널,채널명,실판매출
M,당년,2025-12-14,05,제휴몰,545486800
M,전년,2025-12-14,05,제휴몰,378551600
M,당년,2025-12-14,06,대리점,1053851127
M,전년,2025-12-14,06,대리점,895856341
M,당년,2025-12-14,08,사입,541364150
M,전년,2025-12-14,08,사입,197378290
M,당년,2025-12-14,11,직영몰,172689900
M,전년,2025-12-14,11,직영몰,120233700
M,당년,2025-12-14,RF,RF,363140800
M,전년,2025-12-14,RF,RF,356190653
ST,당년,2025-12-14,01,백화점,1208200
ST,전년,2025-12-14,01,백화점,26550749
ST,당년,2025-12-14,02,면세점,25830110
ST,전년,2025-12-14,02,면세점,26020600
ST,당년,2025-12-14,03,직영점(가두),12665900
ST,당년,2025-12-14,04,자사몰,16017070
ST,전년,2025-12-14,04,자사몰,134720700
ST,당년,2025-12-14,05,제휴몰,38229100
ST,전년,2025-12-14,05,제휴몰,12169180
ST,당년,2025-12-14,07,아울렛,19691100
ST,전년,2025-12-14,07,아울렛,37104460
ST,당년,2025-12-14,11,직영몰,24420560
ST,전년,2025-12-14,11,직영몰,21323770
V,당년,2025-12-14,01,백화점,789879900
V,전년,2025-12-14,01,백화점,303074700
V,당년,2025-12-14,03,직영점(가두),13120000
V,당년,2025-12-14,04,자사몰,148661210
V,전년,2025-12-14,04,자사몰,95037030
V,당년,2025-12-14,05,제휴몰,499742700
V,전년,2025-12-14,05,제휴몰,75642000
V,당년,2025-12-14,07,아울렛,214128840
V,전년,2025-12-14,07,아울렛,213151050
V,당년,2025-12-14,11,직영몰,94972500
V,전년,2025-12-14,11,직영몰,64535050
W,전년,2025-12-14,02,면세점,25214100
W,전년,2025-12-14,03,직영점(가두),36092200
W,당년,2025-12-14,04,자사몰,12239991
W,전년,2025-12-14,04,자사몰,14967180
W,당년,2025-12-14,05,제휴몰,9232000
W,전년,2025-12-14,05,제휴몰,12026400
W,전년,2025-12-14,11,직영몰,3016500
X,당년,2025-12-14,01,백화점,3928397200
X,전년,2025-12-14,01,백화점,4286641660
X,당년,2025-12-14,02,면세점,808707600
X,전년,2025-12-14,02,면세점,866472800
X,당년,2025-12-14,03,직영점(가두),139038300
X,전년,2025-12-14,03,직영점(가두),73007700
X,당년,2025-12-14,04,자사몰,600626647
X,전년,2025-12-14,04,자사몰,661411180
X,당년,2025-12-14,05,제휴몰,1782217500
X,전년,2025-12-14,05,제휴몰,1460111660
X,당년,2025-12-14,06,대리점,4063763510
X,전년,2025-12-14,06,대리점,5137615970
X,당년,2025-12-14,07,아울렛,2585800300
X,전년,2025-12-14,07,아울렛,3151076100
X,당년,2025-12-14,11,직영몰,309148700
X,전년,2025-12-14,11,직영몰,386590700
X,당년,2025-12-14,12,아울렛,64336000
X,전년,2025-12-14,12,아울렛,87666300
I,당년,2025-12-21,01,백화점,475579500
I,전년,2025-12-21,01,백화점,748173120
I,당년,2025-12-21,02,면세점,183415700
I,전년,2025-12-21,02,면세점,279914400
I,당년,2025-12-21,03,직영점(가두),28569500
I,전년,2025-12-21,03,직영점(가두),35029137
I,당년,2025-12-21,04,자사몰,65293120
I,전년,2025-12-21,04,자사몰,73086490
I,당년,2025-12-21,05,제휴몰,260443000
