브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
ST,2.0,면세점,당시즌의류,레깅스,LG,98428,88586,80532,45903,24160,21743
ST,2.0,면세점,당시즌의류,맨투맨,MT,14968089,13489076,12262779,6989788,3214416,3775372
ST,2.0,면세점,당시즌의류,반바지,SP,1833355,1650019,1500008,855005,554580,300425
ST,2.0,면세점,당시즌의류,방풍자켓,WJ,237620,213858,194417,110818,86726,24092
ST,2.0,면세점,당시즌의류,스커트,SK,15500994,13966693,12696978,7237244,3187830,4049414
ST,2.0,면세점,당시즌의류,트레이닝(상의),TR,898781,808903,735364,419158,213182,205976
ST,2.0,면세점,당시즌의류,팬츠,PT,5216709,4705876,4278076,2438510,1346681,1091829
ST,2.0,면세점,당시즌의류,폴로 티셔츠,PQ,6049872,5482367,4983957,2840846,1249455,1591391
ST,2.0,면세점,당시즌의류,후드티,HD,148140,133326,121205,69087,34092,34995
ST,2.0,면세점,차시즌의류,니트풀오버,KP,711867,640680,582434,331988,190136,141852
ST,2.0,면세점,차시즌의류,스커트,SK,138198,124378,113070,64450,32253,32197
ST,2.0,면세점,차시즌의류,팬츠,PT,325112,281764,256150,146006,90206,55800
ST,3.0,직영점(가두),Acc_etc,머플러,AM,285343,285343,259403,259403,53519,205884
ST,3.0,직영점(가두),Acc_etc,양말,SO,279179,277688,252437,252437,43736,208701
ST,3.0,직영점(가두),Bag,백팩,BK,316164,237123,215565,215565,78922,136643
ST,3.0,직영점(가두),Bag,보스톤백,BW,712861,665337,604850,604850,157933,446917
ST,3.0,직영점(가두),Bag,토드백,TG,246568,212267,192970,192970,55538,137432
ST,3.0,직영점(가두),Headwear,비니,BN,343008,329288,299351,299351,79538,219813
ST,3.0,직영점(가두),Headwear,선캡,SC,215747,215747,196133,196133,37860,158273
ST,3.0,직영점(가두),Headwear,운동모,CP,1231847,1167322,1061194,1061194,205606,855588
ST,3.0,직영점(가두),Shoes,신발,SH,523958,425032,386391,386391,133873,252518
ST,3.0,직영점(가두),과시즌의류,니트가디건,KC,1011129,606677,551525,551525,166377,385148
ST,3.0,직영점(가두),과시즌의류,다운점퍼,DJ,13995734,8083663,7348770,7348770,1925239,5423531
ST,3.0,직영점(가두),과시즌의류,맨투맨,MT,1186113,1186113,1078282,1078282,195171,883111
ST,3.0,직영점(가두),과시즌의류,반팔티셔츠,RS,68602,68602,62365,62365,16673,45692
ST,3.0,직영점(가두),과시즌의류,방풍자켓,WJ,633323,554182,503801,503801,127818,375983
ST,3.0,직영점(가두),과시즌의류,스커트,SK,1382970,1382970,1257241,1257241,272353,984888
ST,3.0,직영점(가두),과시즌의류,트레이닝(상의),TR,2242976,1941725,1765199,1765199,369072,1396127
ST,3.0,직영점(가두),과시즌의류,패딩,PD,2255901,1311982,1192706,1192706,371199,821507
ST,3.0,직영점(가두),과시즌의류,팬츠,PT,2842495,2495908,2268994,2268994,467720,1801274
ST,3.0,직영점(가두),과시즌의류,폴로 티셔츠,PQ,414593,414593,376901,376901,81606,295295
ST,3.0,직영점(가두),당시즌의류,긴팔티셔츠,RL,787428,767742,697947,697947,188744,509203
ST,3.0,직영점(가두),당시즌의류,니트가디건,KC,2038165,1949182,1771979,1771979,509014,1262965
ST,3.0,직영점(가두),당시즌의류,니트베스트,KV,276395,276395,251267,251267,62557,188710
ST,3.0,직영점(가두),당시즌의류,니트풀오버,KP,1345189,1325404,1204912,1204912,336824,868088
ST,3.0,직영점(가두),당시즌의류,다운점퍼,DJ,10291244,9149076,8317326,8317326,3619016,4698310
ST,3.0,직영점(가두),당시즌의류,맨투맨,MT,5095414,4816036,4378194,4378194,1152667,3225527
ST,3.0,직영점(가두),당시즌의류,방풍자켓,WJ,227678,227678,206979,206979,75551,131428
ST,3.0,직영점(가두),당시즌의류,스커트,SK,2153496,2135699,1941538,1941538,476354,1465184
ST,3.0,직영점(가두),당시즌의류,윈드티셔츠,WT,158082,158082,143711,143711,55249,88462
ST,3.0,직영점(가두),당시즌의류,트레이닝(상의),TR,998204,980407,891277,891277,226644,664633
ST,3.0,직영점(가두),당시즌의류,패딩,PD,742688,717931,652663,652663,276226,376437
ST,3.0,직영점(가두),당시즌의류,팬츠,PT,2567094,2369840,2154392,2154392,650463,1503929
ST,3.0,직영점(가두),당시즌의류,폴로 티셔츠,PQ,997210,997210,906550,906550,229478,677072
ST,3.0,직영점(가두),당시즌의류,후드티,HD,148140,148140,134672,134672,34092,100580
ST,3.0,직영점(가두),차시즌의류,트레이닝(상의),TR,444419,444419,404016,404016,114953,289063
ST,3.0,직영점(가두),차시즌의류,팬츠,PT,216742,216742,197036,197036,58799,138237
ST,4.0,자사몰,Acc_etc,머플러,AM,570686,536366,487606,487606,107038,380568
ST,4.0,자사몰,Acc_etc,볼,RK,0,0,0,0,0,0
ST,4.0,자사몰,Acc_etc,양말,SO,1178756,1007828,916210,916210,203628,712582
ST,4.0,자사몰,Acc_etc,헤드밴드,HB,144163,103758,94323,94323,31219,63104
ST,4.0,자사몰,Bag,라켓백,RB,237620,237620,216019,216019,67607,148412
ST,4.0,자사몰,Bag,백팩,BK,394708,364106,331005,331005,89202,241803
ST,4.0,자사몰,Bag,크로스백,CR,108371,108371,98519,98519,26486,72033
ST,4.0,자사몰,Bag,토드백,TG,246568,219923,199930,199930,55538,144392
ST,4.0,자사몰,Headwear,비니,BN,58659,51799,47091,47091,11792,35299
ST,4.0,자사몰,Headwear,선캡,SC,892816,799955,727232,727232,151888,575344
ST,4.0,자사몰,Headwear,운동모,CP,1719019,1496411,1360376,1360376,322955,1037421
ST,4.0,자사몰,Shoes,신발,SH,-4330853,1081679,983335,983335,420155,563180
ST,4.0,자사몰,과시즌의류,긴팔티셔츠,RL,325112,223502,203183,203183,60272,142911
ST,4.0,자사몰,과시즌의류,니트가디건,KC,277389,166066,150968,150968,45644,105324
ST,4.0,자사몰,과시즌의류,다운베스트,DV,2894195,1181380,1073983,1073983,282071,791912
ST,4.0,자사몰,과시즌의류,다운점퍼,DJ,11959557,5400472,4909520,4909520,1234681,3674839
ST,4.0,자사몰,과시즌의류,레깅스,LG,157088,129011,117282,117282,34008,83274
ST,4.0,자사몰,과시즌의류,맨투맨,MT,1452566,1054935,959031,959031,271857,687174
ST,4.0,자사몰,과시즌의류,반바지,SP,551796,499788,454352,454352,143547,310805
ST,4.0,자사몰,과시즌의류,반팔티셔츠,RS,490154,450703,409730,409730,112000,297730
ST,4.0,자사몰,과시즌의류,방풍자켓,WJ,1404843,1195866,1087150,1087150,322979,764171
ST,4.0,자사몰,과시즌의류,스커트,SK,1175176,978568,889606,889606,224507,665099
