브랜드,유통채널,채널명,아이템_중분류,아이템_소분류,아이템코드,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 출고매출액(V-) Actual,매출원가(평가감환입반영),매출총이익
ST,4.0,자사몰,과시즌의류,다운점퍼,DJ,16236000,10338310,9398464,9398464,2922480,6475984
ST,4.0,자사몰,과시즌의류,레깅스,LG,356000,318990,289991,289991,79490,210501
ST,4.0,자사몰,과시즌의류,맨투맨,MT,6554000,3965700,3605180,3605180,1176717,2428463
ST,4.0,자사몰,과시즌의류,반바지,SP,317000,250910,228100,228100,78550,149550
ST,4.0,자사몰,과시즌의류,반팔티셔츠,RS,267000,195660,177874,177874,45367,132507
ST,4.0,자사몰,과시즌의류,방풍자켓,WJ,2179000,1942230,1765664,1765664,577430,1188234
ST,4.0,자사몰,과시즌의류,브라,BR,59000,24000,21818,21818,6973,14845
ST,4.0,자사몰,과시즌의류,스커트,SK,2583000,2214010,2012735,2012735,519440,1493295
ST,4.0,자사몰,과시즌의류,원피스,OP,318000,150040,136400,136400,37582,98818
ST,4.0,자사몰,과시즌의류,트레이닝(상의),TR,2186000,1558980,1417253,1417253,400091,1017162
ST,4.0,자사몰,과시즌의류,패딩,PD,9437000,5114870,4649881,4649881,1698660,2951221
ST,4.0,자사몰,과시즌의류,팬츠,PT,13098000,9535450,8668585,8668585,2287274,6381311
ST,4.0,자사몰,과시즌의류,폴로 티셔츠,PQ,1221000,870030,790936,790936,206411,584525
ST,4.0,자사몰,과시즌의류,후드티,HD,944000,527260,479327,479327,169920,309407
ST,4.0,자사몰,당시즌의류,긴팔티셔츠,RL,891000,739860,672600,672600,193970,478630
ST,4.0,자사몰,당시즌의류,니트가디건,KC,2388000,2151410,1955826,1955826,592400,1363426
ST,4.0,자사몰,당시즌의류,니트베스트,KV,139000,126850,115319,115319,31460,83859
ST,4.0,자사몰,당시즌의류,니트풀오버,KP,2466000,2290400,2082180,2082180,704680,1377500
ST,4.0,자사몰,당시즌의류,다운점퍼,DJ,18127000,16455620,14959650,14959650,6236350,8723300
ST,4.0,자사몰,당시즌의류,맨투맨,MT,22716000,20653650,18776047,18776047,4966620,13809427
ST,4.0,자사몰,당시즌의류,반바지,SP,307000,307390,279446,279446,107950,171496
ST,4.0,자사몰,당시즌의류,반팔티셔츠,RS,577000,494540,449582,449582,122040,327542
ST,4.0,자사몰,당시즌의류,방풍자켓,WJ,239000,213100,193727,193727,87230,106497
ST,4.0,자사몰,당시즌의류,스커트,SK,5326000,4793700,4357907,4357907,1106880,3251027
ST,4.0,자사몰,당시즌의류,윈드티셔츠,WT,1272000,1175580,1068709,1068709,444560,624149
ST,4.0,자사몰,당시즌의류,트레이닝(상의),TR,3530000,3088380,2807620,2807620,809540,1998080
ST,4.0,자사몰,당시즌의류,팬츠,PT,7179000,6494690,5904265,5904265,1726880,4177385
ST,4.0,자사몰,당시즌의류,폴로 티셔츠,PQ,1379000,1356940,1233582,1233582,227650,1005932
ST,4.0,자사몰,차시즌의류,니트풀오버,KP,537000,473820,430746,430746,143430,287316
ST,4.0,자사몰,차시즌의류,트레이닝(상의),TR,149000,133100,121000,121000,41650,79350
ST,4.0,자사몰,차시즌의류,팬츠,PT,1199000,1063680,966980,966980,330320,636660
ST,5.0,제휴몰,Acc_etc,기타소품류,AC,175000,175000,159090,159090,15650,143440
ST,5.0,제휴몰,Acc_etc,머플러,AM,89000,89000,80909,80909,9830,71079
ST,5.0,제휴몰,Acc_etc,보호대,PR,246000,199600,181452,181452,30628,150824
ST,5.0,제휴몰,Acc_etc,양말,SO,1593600,1593600,1448710,1448710,267770,1180940
ST,5.0,제휴몰,Acc_etc,헤드밴드,HB,79000,79000,71817,71817,9462,62355
ST,5.0,제휴몰,Bag,라켓백,RB,3960000,2034200,1849272,1849272,649860,1199412
ST,5.0,제휴몰,Bag,백팩,BK,1392000,1073600,975996,975996,375020,600976
ST,5.0,제휴몰,Bag,보스톤백,BW,1990000,1886400,1714906,1714906,456050,1258856
ST,5.0,제휴몰,Bag,크로스백,CR,287000,203800,185273,185273,75950,109323
ST,5.0,제휴몰,Bag,토드백,TG,1582000,944800,858907,858907,234440,624467
ST,5.0,제휴몰,Headwear,비니,BN,69000,34500,31363,31363,6900,24463
ST,5.0,제휴몰,Headwear,선캡,SC,1370000,1128800,1026174,1026174,279130,747044
ST,5.0,제휴몰,Headwear,운동모,CP,2599000,2243000,2039078,2039078,408690,1630388
ST,5.0,제휴몰,Headwear,햇,HT,433000,185000,168184,168184,30774,137410
ST,5.0,제휴몰,Shoes,신발,SH,87318000,27331200,24846490,24846490,6538975,18307515
ST,5.0,제휴몰,과시즌의류,긴팔티셔츠,RL,5521000,2630300,2391179,2391179,720286,1670893
ST,5.0,제휴몰,과시즌의류,니트가디건,KC,3528000,1774000,1612725,1612725,475318,1137407
ST,5.0,제휴몰,과시즌의류,니트반팔티셔츠,KU,1284000,592200,538364,538364,138166,400198
ST,5.0,제휴몰,과시즌의류,니트베스트,KV,736000,328200,298365,298365,76128,222237
ST,5.0,제휴몰,과시즌의류,니트풀오버,KP,5498000,2593400,2357634,2357634,707480,1650154
ST,5.0,제휴몰,과시즌의류,다운베스트,DV,26898000,11070000,10063633,10063633,2814120,7249513
ST,5.0,제휴몰,과시즌의류,다운점퍼,DJ,185567000,81400990,74000802,74000802,20469820,53530982
ST,5.0,제휴몰,과시즌의류,레깅스,LG,3345000,1221300,1110268,1110268,293360,816908
ST,5.0,제휴몰,과시즌의류,맨투맨,MT,77591000,37244800,33858825,33858825,9900822,23958003
ST,5.0,제휴몰,과시즌의류,반바지,SP,3394000,1778200,1616544,1616544,454179,1162365
ST,5.0,제휴몰,과시즌의류,반팔카라티셔츠,TS,398000,119400,108546,108546,25328,83218
ST,5.0,제휴몰,과시즌의류,반팔티셔츠,RS,8828000,3658800,3326177,3326177,837770,2488407
ST,5.0,제휴몰,과시즌의류,방풍자켓,WJ,13873000,6319500,5744992,5744992,1548097,4196895
ST,5.0,제휴몰,과시즌의류,브라,BR,1097000,403200,366542,366542,92055,274487
ST,5.0,제휴몰,과시즌의류,스커트,SK,18722000,10216400,9287612,9287612,2648137,6639475
ST,5.0,제휴몰,과시즌의류,슬리브리스,SL,59000,59000,53636,53636,20090,33546
ST,5.0,제휴몰,과시즌의류,원피스,OP,6253000,2515000,2286361,2286361,617297,1669064
