브랜드,시즌,유통채널,채널명,고객,PH01-1,아이템_대분류,PH01-2,아이템_중분류,PH01-3,아이템코드,아이템_소분류,합계 : 1. 매출액 Actual,합계 : 제품/상품 매출액 Actual,합계 : 판매금액(TAG가),합계 : 실판매액,합계 : 실판매액(V-),합계 : 수수료차감매출 Actual,합계 : 출고매출액(V-) Actual,합계 : 2. 매출원가 Actual,합계 : 표준 매출원가,표준제간비,재고평가감 환입,매출원가(평가감환입반영),매출총이익
X,24F,1.0,백화점,104512.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120009,MT,맨투맨,10538,10538,0,13800,12545,11592,10538,870,870,49,0,919,9619
X,24F,1.0,백화점,104512.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),246334,246334,790000,395000,359090,270967,246334,155200,155200,8846,-49627,114419,131915
X,24F,1.0,백화점,104517.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),27349,27349,109000,43600,39636,30084,27349,22550,22550,1285,-7983,15852,11497
X,24F,1.0,백화점,104517.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),49554,49554,158000,79000,71818,54509,49554,31040,31040,1769,-9925,22884,26670
X,24F,1.0,백화점,104518.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,237436,237436,627000,376200,342001,261179,237436,113010,113010,6441,-29220,90231,147205
X,24F,1.0,백화점,104518.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110007,DV,다운베스트,51365,51365,129000,77400,70363,56502,51365,27130,27130,1546,-9890,18786,32579
X,24F,1.0,백화점,104518.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120004,HD,후드티,95434,95434,380000,139000,126360,104978,95434,62650,62650,3571,-11868,54353,41081
X,24F,1.0,백화점,104518.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120010,OP,원피스,1095808,1095808,4128000,1651200,1501088,1205389,1095808,992320,992320,56562,-440669,608213,487595
X,24F,1.0,백화점,104518.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120011,RL,긴팔티셔츠,78044,78044,196000,117600,106908,85848,78044,31520,31520,1796,-5327,27989,50055
X,24F,1.0,백화점,104518.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),19780647,19780647,73009000,30482310,27711187,21758712,19780647,16262120,16262120,926940,-6505462,10683598,9097049
X,24F,1.0,백화점,104518.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130009,PT,팬츠,121037,121037,445000,178000,161814,133141,121037,96600,96600,5506,-37131,64975,56062
X,24F,1.0,백화점,104518.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),1617272,1617272,5654000,2482790,2257074,1778999,1617272,1153680,1153680,65759,-398100,821339,795933
X,24F,1.0,백화점,104527.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),34953,34953,89000,53400,48546,38448,34953,20870,20870,1189,-8976,13083,21870
X,24F,1.0,백화점,104528.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,562776,562776,1433000,859800,781632,619054,562776,330120,330120,18816,-138619,210317,352459
X,24F,1.0,백화점,104528.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110024,SS,소프트쉘,232004,232004,556000,333600,303272,255204,232004,120880,120880,6890,-46578,81192,150812
X,24F,1.0,백화점,104528.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120009,MT,맨투맨,636213,636213,1873000,972000,883626,699835,636213,365030,365030,20806,-114729,271107,365106
X,24F,1.0,백화점,104528.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120011,RL,긴팔티셔츠,57732,57732,147000,88200,80184,63505,57732,23640,23640,1347,-3995,20992,36740
X,24F,1.0,백화점,104540.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),316864,316864,982000,484100,440088,348551,316864,241430,241430,13761,-110199,144992,171872
X,24F,1.0,백화점,104540.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),259200,259200,990000,396000,360000,285120,259200,240600,240600,13714,-108300,146014,113186
X,24F,1.0,백화점,104677.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),27147,27147,79000,47400,43091,29862,27147,16520,16520,941,-5962,11499,15648
X,24F,1.0,백화점,104810.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120009,MT,맨투맨,261498,261498,882000,418800,380722,287648,261498,168360,168360,9596,-50492,127464,134034
X,24F,1.0,백화점,104811.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,4910418,4910418,12995000,7797010,7088179,5401460,4910418,2766730,2766730,157703,-1030125,1894308,3016110
X,24F,1.0,백화점,104811.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110007,DV,다운베스트,251199,251199,645000,387000,351820,276319,251199,135650,135650,7732,-49454,93928,157271
X,24F,1.0,백화점,104849.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,1297672,1297672,3682000,1916000,1741817,1427439,1297672,747420,747420,42602,-255370,534652,763020
X,24F,1.0,백화점,104849.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110024,SS,소프트쉘,133138,133138,437000,192700,175181,146452,133138,85580,85580,4878,-27180,63278,69860
X,24F,1.0,백화점,104849.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110027,WJ,방풍자켓,71578,71578,259000,103600,94182,78736,71578,49300,49300,2810,-14688,37422,34156
X,24F,1.0,백화점,104849.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120009,MT,맨투맨,-24596,-24596,-89000,-35600,-32363,-27056,-24596,-12990,-12990,-740,1096,-12634,-11962
X,24F,1.0,백화점,104849.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120010,OP,원피스,87884,87884,318000,127200,115636,96672,87884,64200,64200,3659,-21703,46156,41728
X,24F,1.0,백화점,104849.0,L0100,Inner,L0100L0120,과시즌의류,L0100L0120L0120017,TR,트레이닝(상의),488746,488746,1699000,707400,643090,537621,488746,345650,345650,19702,-118601,246751,241995
X,24F,1.0,백화점,104849.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130008,LG,레깅스,164347,164347,603000,241200,219270,180782,164347,135930,135930,7748,-55347,88331,76016
X,24F,1.0,백화점,104849.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130009,PT,팬츠,281130,281130,784000,406900,369909,309242,281130,137500,137500,7837,-32729,112608,168522
X,24F,1.0,백화점,104849.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130011,SK,스커트,30124,30124,109000,43600,39637,33136,30124,20550,20550,1171,-5983,15738,14386
X,24F,1.0,백화점,104849.0,L0100,Bottom,L0100L0130,과시즌의류,L0100L0130L0130016,TP,트레이닝(하의),353535,353535,1309000,511690,465173,388889,353535,256950,256950,14646,-82020,189576,163959
X,24F,1.0,백화점,104850.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110005,DJ,다운점퍼,3109325,3109325,9312000,4424480,4022274,3420258,3109325,1736790,1736790,98997,-492368,1343419,1765906
X,24F,1.0,백화점,104850.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110024,SS,소프트쉘,345590,345590,856000,493720,448820,380149,345590,200300,200300,11417,-85907,125810,219780
X,24F,1.0,백화점,104850.0,L0100,Outer,L0100L0110,과시즌의류,L0100L0110L0110027,WJ,방풍자켓,181300,181300,518000,259000,235454,199430,181300,107940,107940,6152,-38716,75376,105924
